Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
,,,,COMPUTING,,,,,,,
16981.0,GCIS,123,600,Software Dev & ProbSolv_I,6,TBD,30,62.163481227919334,14.673656218689185,42.225437927835216,Unknown,23.787960890748835
16981.0,GCIS,123,600,Software Dev & ProbSolv_I,6,TBD,30,76.21898695786197,11.760865085041054,62.013298484022485,Unknown,29.520778754467816
16982.0,GCIS,123,601,Software Dev & ProbSolv_I,6,Akpinar,30,27.207766428922827,48.5379626923398,61.7114165699176,Unknown,48.974931014103795
16982.0,GCIS,123,601,Software Dev & ProbSolv_I,6,Akpinar,30,48.53247869271703,57.39558103101294,60.13693970794728,Unknown,84.45301403273734
16988.0,GCIS,123,602,Software Dev & ProbSolv_I,6,TBD,30,55.2138968992551,14.046202684940045,18.8924858601316,Unknown,40.27441438526991
16988.0,GCIS,123,602,Software Dev & ProbSolv_I,6,TBD,30,90.7757627595067,32.17180023088582,51.82801865506164,Unknown,78.41831337867544
16989.0,GCIS,123,603,Software Dev & ProbSolv_I,6,TBD,30,24.860322441012276,27.52343059792575,26.053382621527952,Unknown,49.2790388308498
16989.0,GCIS,123,603,Software Dev & ProbSolv_I,6,TBD,30,36.90548056038103,80.85522940294783,89.72697433040885,Unknown,12.205630988760825
17005.0,GCIS,123,604,Software Dev & ProbSolv_I,6,TBD,30,95.25825996793505,46.05513092294214,18.272859315888855,Unknown,16.11904886284597
17005.0,GCIS,123,604,Software Dev & ProbSolv_I,6,TBD,30,48.04717479740174,27.444384567805926,48.79170445994983,Unknown,95.45447746587588
17107.0,GCIS,124,600,Software Dev & ProbSolv_II,6,TBD,30,77.24283372227416,57.57352761617716,15.01030250577756,Unknown,68.47115572902074
17107.0,GCIS,124,600,Software Dev & ProbSolv_II,6,TBD,30,25.242594020262928,9.749273855064652,18.21767576008918,Unknown,39.005141344019286
17521.0,GCIS,124,601,Software Dev & ProbSolv_II,6,TBD,30,60.780933740225684,79.47376733810182,69.08963863965408,Unknown,13.935305109818342
17521.0,GCIS,124,601,Software Dev & ProbSolv_II,6,TBD,30,11.851244244433257,29.29551709302408,41.05758590227692,Unknown,91.91712593928152
17533.0,ISTE,230,600,Intro to Database,3,TBD,30,32.73526888385167,82.6717568119659,99.75775855197993,Unknown,27.57571506546278
17533.0,ISTE,230,600,Intro to Database,3,TBD,30,35.36390176807879,79.57320128948002,18.843296414709542,Unknown,82.15528257033358
17534.0,ISTE,230,601,Intro to Database,3,TBD,30,98.14627665518003,32.19165560259543,19.95877004862239,Unknown,93.15901648324669
17534.0,ISTE,230,601,Intro to Database,3,TBD,30,74.76667316973125,81.61118161383223,9.932881750153422,Unknown,81.45734755961116
16843.0,NSSA,221,600,Systems Administration I,2,TBD,25,76.11933775312846,86.35630855040849,16.75763577394207,Unknown,45.236351874020684
16843.0,NSSA,221,600,Systems Administration I,2,TBD,25,27.713960945947846,9.343190523405795,24.913151595698327,Unknown,35.04305940497323
16844.0,NSSA,221,60L1,Systems Administration I Lab,2,Osama Abdulrahman,25,32.879669843726724,15.852448057038833,78.94402920895236,Unknown,17.090671241438976
16956.0,NSSA,221,601,Systems Administration I,2,TBD,25,66.85340855517691,90.86664592162761,14.57858335092425,Unknown,53.763146980068875
16956.0,NSSA,221,601,Systems Administration I,2,TBD,25,36.8226260080229,4.043066226658889,52.727410856314656,Unknown,36.36543372679028
16957.0,NSSA,221,60L2,Systems Administration I Lab,2,Osama Abdulrahman,25,36.817718979574,28.369518948915225,80.52293108949044,Unknown,27.00269262062186
17548.0,NSSA,221,602,Systems Administration I,2,TBD,25,69.15615233065499,104.58482860334925,81.73190030892965,Unknown,55.040593930999364
17548.0,NSSA,221,602,Systems Administration I,2,TBD,25,47.039410510802135,86.42270390643715,87.96486008747905,Unknown,66.35244373326304
17549.0,NSSA,221,60L3,Systems Administration I Lab,2,Osama Abdulrahman,25,36.30163349436422,76.50762117722876,73.96619122797745,Unknown,16.26276289985733
16799.0,NSSA,241,600,Intro Routing & Switching,2,Abdul-Latif,25,94.20977931627854,18.246977933875186,77.9384518048934,Unknown,81.74073940095471
16799.0,NSSA,241,600,Intro Routing & Switching,2,Abdul-Latif,25,86.2359143633186,16.99891351055919,59.28714182788287,Unknown,55.33390583261745
16800.0,NSSA,241,60L1,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,24.987238907406095,25.177434400444582,90.42139396996434,Unknown,49.068069520436175
16958.0,NSSA,241,601,Intro Routing & Switching,2,Abdul-Latif,25,73.63140574091895,26.583736439371474,30.77336730208199,Unknown,52.49997993721084
16958.0,NSSA,241,601,Intro Routing & Switching,2,Abdul-Latif,25,61.65601441382156,2.5611817296902557,65.14619804753946,Unknown,4.7406184796037785
16959.0,NSSA,241,60L2,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,30.519169813699033,89.07196328203348,19.621455766983544,Unknown,7.835243212384327
17099.0,NSSA,241,602,Intro Routing & Switching,2,Abdul-Latif,25,57.934835459606816,47.88858508913712,50.77497599081485,Unknown,61.108143027151186
17099.0,NSSA,241,602,Intro Routing & Switching,2,Abdul-Latif,25,82.222442647323,33.21349908398962,86.19234185688325,Unknown,96.06419664430335
17100.0,NSSA,241,60L3,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,12.327028938803512,17.47026573004224,57.892599344453075,Unknown,8.794085997636127
17550.0,NSSA,241,603,Intro Routing & Switching,2,Abdul-Latif,25,80.22906315112675,10.064630690280914,95.47632606640126,Unknown,0.6989533088562021
17550.0,NSSA,241,603,Intro Routing & Switching,2,Abdul-Latif,25,80.32897142919063,51.10801993352175,57.281012586747025,Unknown,63.04212528877031
17551.0,NSSA,241,60L4,Intro Routing & Switching Lab,2,Osama Abdulrahman,25,66.98637602804273,74.49256654455955,79.38535150861817,Unknown,52.31393282617406
17722.0,SWEN,331,600,Engineering Secure Software,3,Saadeh,30,87.79567852735457,16.835652304039904,88.68274949820113,Unknown,5.868959947812914
17722.0,SWEN,331,600,Engineering Secure Software,3,Saadeh,30,30.56166614333046,64.59949851607671,61.99084890215465,Unknown,97.85733364527275
17053.0,SWEN,261,600,Intro to Software Engineering,3,TBD,30,47.954768008368184,65.58164149955391,7.691677637414361,Unknown,44.709081257354065
17053.0,SWEN,261,600,Intro to Software Engineering,3,TBD,30,25.79832825345212,48.848557012765255,77.89749171599625,Unknown,91.62747902329592
17505.0,SWEN,256,600,Software Process and Project Management,3,TBD,30,55.53000385521779,16.198102947803545,29.904250533179095,Unknown,49.007098556818455
17505.0,SWEN,256,600,Software Process and Project Management,3,TBD,30,49.41639341538159,63.24049465298006,94.23366863271796,Unknown,34.82310757581191
17919.0,SWEN,344,600,Engineering of Web-based Software Systems,3,TBD,30,42.167002889194364,29.100522667064507,93.38086361050034,Unknown,73.60204989996402
17919.0,SWEN,344,600,Engineering of Web-based Software Systems,3,TBD,30,36.42010229068749,60.6982739633929,8.912810342745416,Unknown,72.54746818993186
,,,,BS COMPUTING SECURITY,,,,,,,
16943.0,CSEC,99,600,Coop Education Seminar,1,Daswani,30,66.78236813837557,73.41399880231535,1.7768975671540246,Unknown,73.50409546771527
16909.0,CSEC,140,600,Introduction to Cybersecurity,3,Hasan,30,23.669084768916218,23.89699427505145,93.45639000210187,Unknown,69.69940894928895
16909.0,CSEC,140,600,Introduction to Cybersecurity,3,Hasan,30,48.97706217764224,68.6868464755389,39.00654137981714,Unknown,58.73489997284557
16917.0,CSEC,140,601,Introduction to Cybersecurity,3,Hasan,30,16.57373210480036,40.713570919353984,37.10924262781767,Unknown,72.94777567537427
16917.0,CSEC,140,601,Introduction to Cybersecurity,3,Hasan,30,59.48095643053749,68.55601824977582,4.05920400787625,Unknown,65.24720797897983
17102.0,CSEC,140,602,Introduction to Cybersecurity,3,TBD,30,9.053809892773904,59.88552671750994,5.826142977817716,Unknown,48.800323888815825
