Class #,Subject,Cat#,Sect#,Course Name,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Classroom Type,Room #
,,,,COMPUTING,,,,,,,,
16981.0,GCIS,123,600,Software Dev & ProbSolv_I,6,TBD,30,MWF,09:00:00,10:50:00,Open Computer Lab (D112),
16982.0,GCIS,123,601,Software Dev & ProbSolv_I,6,Akpinar,30,TR,09:00:00,11:50:00,Open Computer Lab (D112),
16988.0,GCIS,123,602,Software Dev & ProbSolv_I,6,TBD,30,TR,13:30:00,16:20:00,Open Computer Lab (D112),
16989.0,GCIS,123,603,Software Dev & ProbSolv_I,6,TBD,30,MW,13:05:00,15:55:00,Open Computer Lab (D112),
17005.0,GCIS,123,604,Software Dev & ProbSolv_I,6,TBD,30,TR,12:30:00,15:20:00,Open Computer Lab (D112),
17107.0,GCIS,124,600,Software Dev & ProbSolv_II,6,TBD,30,MWF,09:00:00,10:50:00,Open Computer Lab (D112),
17521.0,GCIS,124,601,Software Dev & ProbSolv_II,6,TBD,30,TR,09:00:00,11:50:00,Open Computer Lab (D112),
17533.0,ISTE,230,600,Intro to Database,3,TBD,30,TR,15:00:00,16:20:00,Open Computer Lab (D112),
17534.0,ISTE,230,601,Intro to Database,3,TBD,30,MW,13:05:00,14:25:00,Open Computer Lab (D112),
16843.0,NSSA,221,600,Systems Administration I,2,TBD,25,T,09:00:00,10:50:00,Regular Classroom (30 Cap),
16844.0,NSSA,221,60L1,Systems Administration I Lab,2,Osama Abdulrahman,25,R,09:00:00,10:50:00,Computer Networking Lab (D313),
16956.0,NSSA,221,601,Systems Administration I,2,TBD,25,M,13:05:00,15:05:00,Regular Classroom (30 Cap),
16957.0,NSSA,221,60L2,Systems Administration I Lab,2,Osama Abdulrahman,25,W,13:05:00,15:05:00,Computer Networking Lab (D313),
17548.0,NSSA,221,602,Systems Administration I,2,TBD,25,R,09:00:00,10:50:00,Regular Classroom (30 Cap),
17549.0,NSSA,221,60L3,Systems Administration I Lab,2,Osama Abdulrahman,25,T,09:00:00,10:50:00,Computer Networking Lab (D313),
16799.0,NSSA,241,600,Intro Routing & Switching,2,Abdul-Latif,25,W,09:00:00,10:50:00,Regular Classroom (30 Cap),
